"","Cluster","Count","Mean_logCPM","STDev_logCPM","Mean_Silhouette"
"1",1,6,5.58126949604804e-17,0.97635599452115,0.43809906511778
"2",2,15,7.91869142274598e-19,0.973630006899219,0.314342423577687
"3",3,73,-7.52695909766217e-18,0.972195323555891,0.257026770055846
"4",4,6,6.41285507207167e-18,0.97635599452115,0.329729324597282
"5",5,6,2.75808985989507e-17,0.97635599452115,0.186615640660288
"6",6,20,3.22596827241308e-17,0.973177891710271,0.305508458683994
"7",7,13,-3.75949419980657e-18,0.973908545027331,0.183060768800602
"8",8,10,1.37943644739871e-17,0.974536130880257,0.321827735786212
"9",9,1,1.69737873448008e-17,1,0
"10",10,10,-1.98252390584377e-17,0.974536130880257,0.164296852253461
"11",11,6,5.13349650853877e-17,0.97635599452115,0.609039019366055
"12",12,6,-7.32238022787895e-18,0.97635599452115,0.0701253647882073
"13",13,6,-5.49890024766615e-17,0.97635599452115,0.628618702833328
"14",14,2,1.88584356524417e-16,0.985610760609162,0.0151029648724539
"15",15,3,5.67820771112269e-17,0.980950636343846,0.191161475314468
"16",16,4,1.14845620956878e-16,0.978645226255786,0.247411435547914
"17",17,2,1.40699325261605e-16,0.985610760609163,0.359318221200983
"18",18,2,6.17513370684522e-17,0.985610760609162,0.35582619598446
"19",19,5,-9.16319489421527e-17,0.977269757935485,-0.0272217160741511
"20",20,4,6.21308078288221e-17,0.978645226255786,0.28808897628569
